Message,Availability,Payment,Attraction (Experiences),Facility,House Rules,Location,Discount,Contact Host,Others
is it available for 19-21 feb?how about the price?,1,1,,,,,,,
Are there any balkong or terrace@,,,,1,,,,,
"Hello, im looking a location to atend my tenants, usually i receive one visitor per hour and more or less 10 in the whole day im a phytoterapist coming from México and i wonder if ok for you this.My site is -------.--- ThanksCarlos Alfonso",1,,,,,,,,
"I wish to book from 18 Nov to 20 Nov, 3 days 2 nights, can u contact me +-- ---- ----/ +-- ---- ----",,,,,,,,1,
Hi I'm keen on 20-21 July can I book it now? And we could contact via $81680983,,,,,,,,1,
Hi.I sent you a message a couple of days ago but unsure if I sent it correctly. I am very interested in booking your apartment for the above dates. We would be arriving on 27th December around 4am and leaving 14th January just after midnight. Is this OK for entering and leaving the apartment?Look forward to hearing from you.Katrina.,,,,,1,,,,
"Good afternoon-I am writing to confirm your listing's availability and pricing for Friday, October 9th- Wednesday, October 14--3 to 5 nights. Further could you confirm beds and their sizes? We are two adults and a toddler (nearly 2). Regards,Erica Stone",1,,,1,,,,,
Hi How many beds? And where is this located exactly thanks,,,,1,,1,,,
"Hello there, I know it's last minute, but I was looking to rent a unit today through Monday. 3 nights, would this unit happen to be available?Thank you kindly in advance for your time",1,,,,,,,,
"Hi! We are 7 adults and 3 kids (age 9, 7 and 2 years old) in our group. Do you count it as 10 people or 7 people?Thanks!",,,,,1,,,,
how much ?,,1,,,,,,,
"hai there, one famliy from sarawak, how much per night",,1,,,,,,,
"Hello, I would like to know more about your villa. We have not been to Bali before so we do not quite know where to start. We are looking for a quiet yet beautiful and unique stay. We would also like to know that we can have meals organised for us so either at the villa or restaurants close by. Could you please let us know whether your villa is available at this time and any other information you can provide.ThanksLisa Rose",1,,,,,,,,
"Hello, I see that you are advertised as wheelchair accessible. Do you have a fair bit of room in the bathroom, especially in front of the toilet, I need at least 1 metre in front of the toilet. Thank you, Lynn Barnes.",,,,1,,,,,
"Hi Tenko, my friend and i, two female office ladies from Singapore, would live to stay in Asakusa for two nights after our Nikko trip. Since we are non-smoker, we wonder if your room would smell of cigarrate as you allow smoking in your room. This is our only concern. No offence. Other than that, your room is lovely and the location is just perfect!Your reply is highly appreciated. Thank you very much.Regards,Merry",,,,,1,,,,
Hi..May I know is extra mattress available?,,,,1,,,,,
"hi. i really like your apartment but we plan to reach fukuoka on december 5th. will it be available if we want to stay from 5th to 8th december 2015? i really like your place, i hope you can arrange something for us.i really appreciate your help. thank you.regards, raja",1,,,,,,,,
Hi. Tengku Razmi here.. I work at an IT firm in KL. I am trying to book for a homestay for a department outing for about 11pax. Checkin in on 13 November and Checking out on 14 November. Is the place avaialable on that date.,1,,,,,,,,
"temporary posting in jaipur to comp,lete a contract .Need a special",1,,,,,,1,1,
"HI ! I am keen in staying at your villa on 10 Nov for 1 night, Could you advise availability and the best rate please?SahrilSingapore",1,,,,,,1,,
hi sir please reply me...do you have a availability on +-- ---- ---- stay 1 night...,1,,,,,,,,
"this date still available? i got bring my 2 kids, any charges on them?",1,1,,,,,,,
5 families arriving on 1st and check out on 4th oct... pls confirm the availability,1,,,,,,,,
Hello we would like to book the accommodation for the above mentioned dates. Please confirm if OK. Many thanks.ShobhaMobile +-- ---- ----email : -----@-----.---,1,,,,,,,,
"Hi there. Our family is interested in coming in October 2016 but VRBO wouldn't let me book any of the dates showing available. We are fairly flexible on dates, could you tell me what availability is left for the month? And what the nightly charge would be?Thank you,Janelle Wagner",1,1,,,,,,,
"Hello, I have a family (my wife, myself and a 3 year old daughter). Do we have to pay an additional fee for the 3 year old child?We are going to arrive after 6 p.m. on 2 October. We would like to leave on 9 October at 6 p.m. Is this possible?",,1,,,1,,,,
"Hello, is your place available around these dates ? we are a family of 2 adults /3 kids. Can you confirm if washer/dryer in house ? is there a parking spot in case we rent a car ?",1,,,1,,,,,
I'm interested. Please contact me at +-- ---- ---- Jason,,,,,,,,1,
May I know the total amount for 3 nights for 5 people from 28 to 1 dec 15. Do you have 2 apts on the same floor.,1,1,,,,,,,
"Hello, Im Ananya from thailand. me and my boyfriend will arrive tokyo on 16 september,aroud 7.00pm at narita airport. do you still have private room aviable for us which is comfortable to travel aroud tokyo. we need to stay 8 nights (check-out on 25 september)",1,,,,,,,,
family vacation of 5 people.,,,,,,,,,1
"Dear Polly , we decided to spend summer holidays in La Balian Villa, and I have only one question. I would like to know the price for 7 people and for 10 people. Best regards. Justyna",,1,,,,,,,
please mail me the best price for villa on patong beach for 3 nights on -----@-----.---,,,,,,,1,,
we are total 6 family members +1 kid 12yr old we need 2bhk with kitchen facilities.kindly send me details on -----@-----.---Thanks,1,,,,,,,,
"Hello,I would love to book your property for my upcoming trip to the area. If you have availability for my dates, please let me know of next steps.",1,1,,,,,,,
"Hi Ruben! Have you a happy new year!We were looking at your studio, and we need to know if there is parking in it. If not, where can we leave the car?Thanks a lot.Regards.Mariana",,,,1,,,,,
"Hello!I'm Rachael. I'm a student from the US and I'm going to be interning in Tel Aviv from January 17th -March 12th. I'm wondering if you do long term rentals and if so, if there is a monthly fee? Thank you! Rachael",,1,,,1,,,,
"Hi Peter, My name is Lisa. I saw that you had block all dates after April. Would like to enquire the availability on May 8th 2016.**Sry that I have to key in a dummy travel date since the field is mandatory.",1,,,,,,,,
"hi is your flat still available for these dates? if so can you please share the address of the property so that i can view on the maps. thanksBest wishes,",1,,,,,1,,,
"Hello John,Our group is interested to book your condo, but is it possible to add one more bed in one of the bedrooms?",,,,1,,,,,
Can you tell me if there is any cooking in this room? Are there burners to cook on or just a microwave?Thank you.,,,,1,,,,,
"Hello HostMy name is Nilesh APTE and I am the director of Jampot Technologies private ltd. Our company is in charge of an internship program sponsored by the Belgian government, where we place young Belgian graduates for a 3 months internship in India.The main objective for the candidates is to gain professional experience in a foreign environment and culture.We would like to book your studio for 2 interns ( they are a couple ) from Belgium and are highly educated and will be performing their internship in CRY and Waste Management company in Chembur. We would like to reserve your place for approximately 2 months starting 14th march 2016.I understand that this is a bit complicated hence would request to get in touch. Maybe we could start by reserving for a week and then continuing later as per your convenience. Do let me know the best way to proceed. Kind regardsNilesh APTE",1,,,,,,,,
"Hi,We are looking stay for a about a month in Phuket but we do not have the exact dates yet. What is your availability from around 11/20 to 01/01. We would confirm the dates when we have our trip finalized. Are you the owner or the manager?What is the name of the building/complex?Thanks.Lidia Nash+-- ---- ---------@-----.---",1,,,,,1,,,
"Hi Fariz, I am actually looking for a place to stay in KL for 3 months straight with a budget of RM800 per -------.--- you have a designers studio apartment that you could offer me around that price?",1,,,,,,1,,
"Hi, we are looking to rent a beach side apartment between the 19th Aug and 13th sept, but will not need the accommodation between the 4th and 6th of Sept inclusive as we plan to be in Melbourne. Could you provide your best quote for this period please. miles",,,1,,,,1,,
Good Morning -I will be traveling to Hawaii meeting my active duty military son who will be having knee surgery at Tripler. We are given a $177 per night allowance for the time he is there. I need a place with a kitchen and laundry. Can you accommodate us from 1/11/2015 for approximately 2-3 weeks? It may be longer depending on his recovery time. Thank you!,1,,,1,,,,,
"Hi Wayne, Do you still have this apartment available between feb 22 to 25?. Can I have you mobile number too.  ThanksRegards,Fazal+-- ---- ----",1,,,,,,,1,
"I am interested in your property, i will be in the Houston area from nov 18 till the 23rd. I am also looking for a corporate rental for a 3-6 month term and was wondering what your rate would be or if you do that. look forward to hearing from you,Craig",,1,,,,,,,
We are a group of 9single women who want a place for 3nights 3/11-3/-------.--- this available and how close to south beach is this?,1,,1,,,,,,
"Hello, my name is Emily and my partners name is Greg. We are hoping that you have one bed available for us for 4 nights. I am an artist from New York and Greg is a chef from California. We are very clean and respectful people looking to do some meditation in the Kyoto area. Your place looks perfect for us! Please let us know if we can stay with you, thank you!",1,,,1,,,,,
"Dear Apple,We are 5 adult and 3 kids (4/6/7 years) old, we are interest for colourful and cozy big 3BR, can we just book for 5 person,Please adviceJessie",,,,,1,,,,
"Own a software business in Taipei. looking for a longer term rental. I can move out for the dates already booked. would be wanting to book 3 months. In san francisco, call +-- ---- ----",1,,,,,,,,
"I am interested booking your place. But I need to know how far from the nearest metro station to your place? From the map, Nishisinjukugochome is the nearest station, isn't it?",,,1,,,,,,
"Hello, I'm coming with my family, we need a 2 bedrooms villa. Do you have any availability? What is the best price you can do?Thanks a lot,Alex Liffey",1,,,,,,1,,
I am an Indian female .I will be visiting melbourne with my mother and five years old daughter.I will be reaching Melbourne on 14th and want to stay there for a month.Kindly confirm the accomodation.ThanksZubina,1,,,,,,,,
"Hi! Can you please let me know ASAP if it is available and what is the rate for 1 month (Jan 18 - Feb 18)!Thank you!Best regards, Andrei+-- ---- ----",1,1,,,,,,,
Hello.Could you tell me how much it would cost for the dates I've chosen? Thank you Greg,,1,,,,,,,
"Dear, My family and I want to go to Miami for the New Year, and we really liked your apartment. We are six adults, (2 couple and 2 single), and I just want to make sure there is room to everybody. We would like to conform how many bedrooms, beds and bathoroons there is in the apartment? And also, I would like to confirm rates and viability for the above dates. Thank you and best regards! Barbara Boz",1,1,,1,,,,,
"I live in las vegas , and purchasing a home.I need temporary housing.",1,,,,,,,,
"hi there, i will be hosting my friends fro japan in singapore and would it be ok if i went to see your place before booking? and if you don't mind can i call you to ask you questions? thank you",,,,,1,,,1,
We are a couple and by boyfriend will be visiting me here in taipei and he's from Canada. We'd love to stay at your place for a week during his visit.,1,,,,,,,,
"hello this is Sedat,I would like to rent this furnished apt. in Jbr .I want to bay by cash.I am waiting your respnse My numnber is plus9seven1 zero five six seven zero one, one zero, zero fiveRegards",,1,,,,,,1,
"Hi, I am considering booking this apartment for the dates above, I cannot complete the booking yet as I have to wait to hear from my family.I was considering arriving a day early but it would be after work, do you have any special arrangements for a late check in for around 9pm?. My family will be arriving at around 3am so I thought this was a better option.It would be 4 adults and a 2 year old, will you accept a child of this age.?You have a minimum of 3 nights stay, would I be able to book a single day at the beginning and end of the dates above ( provided they were available) If I decided to at a later date?thanksAnne",,,,,1,,,,
"Hi,My name is Jonah and I am looking for somewhere to stay with 2 other colleagues. I travel to Melbourne 5 times a year for 11days each time. I would like to have somewhere where I could go for the next 2 years of my trade school. Please contact me on +-- ---- ---- if you can help. Thanks, Jonah.",1,,,,,,,1,
How to book and how to contact the owner? I wanna stay from 17th july for 4 nights. I need your telephone number so i can call you and ask some questions. Thanks before.,,1,,,,,,1,
I NEED IT FOR ONE MONTH 11-4-2015 TO +-- ---- ----,1,,,,,,,,
I need to rent one month in March. I am from Argentina. I am going to study sitar with my Guru. How far is from Garpar Road? Thanks.,,,1,,,,,,
"Please tell us: Why declined our reservation?While the three of us are older, but very healthy, we often travel together around the world.In fact, you just give us the keys, we can deal with others. I have been to Kyoto.Please rent to us!By: Sue Ching",,,,,,,,,1
We need a monthly studio apartment modern in Delhi that is close to South patel nagar. Thanks,1,,1,,,,,,
hi just wondering if can check out the room and place first? Thanks.,,,,,1,,,,
"I'm interested in renting the property for the dates mentioned above. Travelling from Adelaide with my parents, wife & 2 children",1,,,,,,,,
Hello!I am very interested in staying at this apartment this summer with my family (with two small children). Can you please confirm the rent cost and availability for June 10-July 14? Thank you.Sayumi,1,1,,,,,,,
hi I had would like to book this apartment for the above dates for my family to come on holiday my husband and 2 children please could you advise if it is available,1,,,,,,,,
I would like to inquire about your updated daily rate for transient. And if you are not experiencing water interruption today.,,1,,,,,,,
Hi is this $380 flat with no additional charges?,,1,,,,,,,
I was planning to book this but have a few questions. Please call me when u get a chance. Thanks. +-- ---- ----,,,,,,,,1,
Can you call me regarding this apartment? my phone number +-- ---- ----,,,,,,,,1,
"Hi I'm Leah, I would like to ask if the room is available on July 25-28? Thanks",1,,,,,,,,
"hi, i like to know the availability of your property for my stay with my wife during the above mentioned dates.",1,,,,,,,,
"Hi, we are very interested in your 4 bedroom villa, please. What the name of the Villa please?Also, what extras ie- transfers from (only) the airport, breakfast daily, house keeping please! Also, is there any day spa service in this price?Thank you very much,Jo K",,,,,1,,,,
"Hi Ms Nora, may I know the location of your house? Sorry, I can't figure it out in the location map. I am looking for a place near Splendido and Chapel on the Hill for 16-17 Jan 2016. Hope to hear from you soon. Thanks",,,1,,,1,,,
"Hello My name is Nikki I am contacting you in reference to your home. My birthday is October first and I would love to spend it in your home. I'll be having 10 traveling guest coming from Washington, D.C. And we will need a place to stay . Please consider and hit me back as soon as possible thank you",1,,,,,,,,
Can you tell me if your villa is available for the above dates. It appears that it is but my boss contacted you about 3 weeks ago and you said it was rented. If not we definitely want it,1,,,,,,,,
what is the best rate ?,,,,,,,1,,
"Hello, I am interested in long term rent. I am from Canada living in Cyprus and will be staying alone in the apartment. Please let me know if the apartment is available for long term rent starting November 2015 and how much is it monthly? Thank you",,1,,,1,,,,
i would like to inquire please text +-- ---- ----,,,,,,,,1,
"Hello Amy,My sister Olse was in contact recently with regards to your property. I was wanting to rent the space from the 5th to the 8th December, and 19th to 20th December. My partner and I will be leaving early as our flight is at 12 noon, on the 8th December.I can see there is a check in on the 8th December, but if we leave by 9/9:30am.....would it be possible to book those dates?I know it might be a little of a tight squeeze in timing, but if you do not ask, you will never find out.Let me know.Susan Yu-----@-----.---",,,,,1,,,,
Good morning. I would like to know about availability for the dates listed above. Thank you. Eric Lonseth,1,,,,,,,,
Hello! My husband and I and our adult son are going to Dubai. Would like to know if there is a bed for him and if there is wifi and it is located close-walking distance-to what places.Thank you.,,,,1,,,,,
hi im looking for a house intended for a wedding preparation(20-30 heads) and venue(good for less than a hundred).. do you accept such? thank you and God Bless! :),,,,,1,,,,
"Hi ,I'm looking for holiday home from 22nd Oct to 25th Oct (3 nights). We are a group of 6 adults and 2 kids(2yrs). I liked your property and would like to proceed ahead with the booking. Would you please revert me back with details?",1,,,,,,,1,
"Hi,What is the rate for this property during above dates?Is internet available?Is it possible to have a cook? If yes, whats the rate?",,1,,1,1,,,,
Hi. How far exactly is your place from Antonios?,,,1,,,,,,
Hi BrendonCould you please confirm if that's ok to add 1.5yr old baby in the same price.Me and wife will be looking at check-in on 27th Feb in Afternoon and will be checking-our on 2nd March Morning approx. 7.00 am.Looking forward to hear from you soonThanksAnkit,,1,,,,,,,
is this available? whats the full address and your contact number?,1,,,,,1,,1,
"Hi, I am from Singapore. Me and my boyfriend are looking for a place to stay. Is your place available on this dates?",1,,,,,,,,
Can you please tell me where you are located. We have friends wanting to book a house as close as possible to Maprachan Lake.,,,1,,,,,,
How many rooms does it have?,,,,1,,,,,
How far is this apartment from the Tel Aviv Central Bus station? Is there a private shower and bathroom with this room?,,,1,1,,,,,
Good Morning -I am a NYC Real Estate Broker and I am seeking a unit for my Brazilian clients who will be here during NYC Fashion Week. Is the above-subject property available?Your attention to this inquiry is greatly appreciated.Thank you kindly.,1,,,,,,,,
こんにちは TakuheiCan i check that this apartment is still available between 3rd April and 10th April 2016?Keen to stay and you had pre-approved?ThanksChris Jones,1,,,,,,,,
"We are a couple from Mackay in Queensland and we are very clean peoples. The purpose of our trip is probably just relaxing and travel around Sydney because we will be finish high school on the 20th of November. And I have a question is that on the website there are two price tag for this apartment, so how much will cost per night? Hence we only stay in the apartment for three day, can we please have a discount on the cleaning fee. Thank you so much Peter.Kind regardBill Chen",,1,,,,,1,,
what is the location?is it shared toilet/bathroom?security available?,,,,,1,1,,,
Hi we have 10 adults and 2 kids would we all fit in the apartment if kids sleeped in sleeping bag thanks,,,,1,,,,,
I need homestay in ayer itam n need your contact no for further information,1,,,,,,,1,
"Hello, how far away from downtown is this? And is there a deposit? if so how much? also how much per night?Thank you! Kayla",,1,1,,,,,,
"We are a family of 4 travelling to Noosa from Tasmania for a holiday. Our 2 children are 15 and 20. We would love to stay for a week. Please let me know availability and cost asap as need to book flights. Thanks, Henry.",1,1,,,,,,,
"Hi, I have a group of friends, 7 adults and 2 kids, aged 8 & 10 years old, from Taiwan visiting Singapore would like to book your apartment from 26th to 28th Feb, do you have any available house to rent for these 2 days?",1,,,,,,,,
Can we check in at 4pm on October 1stBelow are my contact details +-- ---- ----,,,,,1,,,,
"Hi, this is Feiyu, I am a college student, and I was planning to visit Taichung for a few days in this winter, it should be 23th December to 26th.I see your post on Travelmob, it is a really nice place, but I was wondering if the room has washer, or where to find one if there is no washer. Thank you very much!",1,,,1,,,,,
need now,1,,,,,,,,
hello we are from kuwait my contact number +-- ---- ---- my name jasem,,,,,,,,1,
HiCan you provide the room with breakfast and dinner from 25.01 to 30.01?,,,,,1,,,,
"Hi, We would like to book the house for the long weekend (2nd Oct - 5th Oct), could you please let me know ASAP if it's available.Thank youDaniella",1,,,,,,,,
"Dear Madam,I am writing this email to you to ask you more questions about the homestay.I am a 15-year-old student, living in Romania. I would like to move to Japan starting April, 2016, so I would like to come to Japan before that date to get more information. I have also been interested in Japan since a little kid and I want to know more about it. I am a very open and sociable person and I don't have any preferences regarding meals or anything else :)Firstly, I would like to know if I can come, even if I am under 18 years old. Secondly, I would like to know if you could explain me in the first day of staying how the trains work and how to get to different places. Also, I would like to know how the payment should be done and if you could pick me up from the airport when I arrive. Thank you for reading my email! I hope to hear from you soon!Yours faithfully, Anda Ungur",1,1,,,1,,,,
Hi this niaves we are from selangorWe are looking for the housejust we want to stay for 3 days 2 night with familycn i get ur number so easy to contact with u+-- ---- ---- this is my contact number-----@-----.---,,,,,,,,1,
"Greetings,I am travelling with my daughter and we are looking for a place to stay in Hua Hin, close to the beach and all the amenities. I am wondering what your best offer is for 6 nights Nov. 16 - 22.",,,1,,,,1,,
I am interested in renting this facility for 3 days.,1,,,,,,,,
"Hi, we are from Boston, US, arriving from Shanghai on a tour trip. At this moment we want to secure an 3 bedroom apartment during our staying in HK. Please tell us how is the payment if we decided on your apartment, such as down payment/deposit, full payment etc.. What is the cancellation policy? Any further information is greatly appreciated.",,1,,,,,,,
"hello, i hope to hear from you.. i would like to know the payment terms for this flat please.",,1,,,,,,,
"Hello Manager, We are planning to visit Bangkok in February.  Our flight is a night (midnight) flight Is that possible to extend our checkout time to 8PM on our departure day? Regards,Jaido",,,,,1,,,,
HiI would like to check the availability and see the room/apartment please.,1,,,,1,,,,
Can i have the exact address of this unit please.I want it to know if this residence is arista place?,,,1,,,1,,,
"Hi,We are families of 8. 6 adults & 2 children (age 4 & 5)Would like to book for 2 nights stay.Please quote us the total price we need to pay(all in) - no hidden cost.Is linen & towel included in the price?Is the location near to tram station/ shops/restaurant/grocery?How far is the location from Melbourne CBD?Please advise and looking forward to yr reply.Thank you & best regards,Jaclyn Ting",,1,1,,,,,,
"Hi Alex,Please note that the dates above are not correct. What I'm actually looking for is one villa from about the 26/10 for approx. One month and a second villa from the 2/11 - 7/11. Each villa for two people. You appear to be fully booked but i thought it worth checking.Best Regards,Maureen",1,,,,,,,,
Hi there! My partner and I will be visiting tokyo for a short holiday and this is our second time to the city. We'll like to check if this apartment is available during the dates? And also would you allow us to leave our luggages after we have checked out because we have a late flight out.Looking forward to your reply!,1,,,,1,,,,
"Hi There Mark, may i please get your ------- accnt or any access online where i can contact you? would love to get further details for this room :) Thank you ------- Accnt : Kath Guanzon",,,,,,,,1,
Where is this exactly located?,,,1,,,,,,
"Hi Zsa Zsa,I am interested to rent your place on 14 Aug for a night. Please advise if i can check in early around 12 noon as we will arrive Manila in the morning. Also if i like your place maybe i will stay again later dates of Aug. Please advise and let me know.. thank you and appreciate your earliest reply. Liz",,,,,1,,,,
"Hi, can i knoe that the 3 Storey 6 Bed/5 Bath Luxury Villa can slp up to 14 person + 1 baby or not?can i have your address and some bedroom photo to view?pls contact me : -----@-----.---",,,,,1,1,,1,
"We are planning a girls getaway. It will be myself, my two daughters, and the mother-in-law of one of the girls. We plan on doing lots of shopping, sightseeing and going to the shows. Lots of good eating, also. The apartment looks lovely and in a nice location. Thank you.",,,,,,,,,1
dear friend : can cheaper for me ? how about 22000 bht ?,,,,,,,1,,
Hi My family and I like this place so we are thinking whether it'll fit 4 adults + 1 adult aged 13 (1dec) Hope to hear from you as soon as possible. Thanks!,,,,,1,,,,
I like to use a single roomWhere is the nearest station?,,,1,,,,,,
Hello TevfikI'm Youssef jammoul I wil be in Istanbul on 11/8 with my wife and one child I woul like to ask you this appartment including 2 beds And how much for 8 days,,1,,,,,,,
"Hello, I'm a high school student from Korea. I'm planning to take a trip to Sydney Austrailia with my two friends.After I saw this room's information, I want to ask you about a question. Can we get a rollaway bed for a hotel room so an extra persom can sleep there. Is so, how much will it cost?",,1,,1,,,,,
"The above dates are somewhat flexible right now. We are concerned about that smoking is allowed, because of smoke smell in the house. Can you explain please?How much is a car rental ?Thanks so much,Werner",,1,,,1,,,,
"HelloI m Karson Ho, 25, a video director from Hong KongI am going to travel with my girlfriend between 11/21-11/24 at kyoto.I will arrive Japan on 11/21. Are there any room left that days?",1,,,,,,,,
"HI, is the place still available??",1,,,,,,,,
I'm hongkong ppl. wan to know Washroom share or not and need to full pay hole the period or pay a day? many tks.,,1,,,1,,,,
"Dear host, good day! please kindly advise the following questions for our further information, 1) the exact address of your house, 2) which floor is it? and any lifts or just stairs only? due to we have one elder who can't do stairs climbing so we need lifts for floor above 2nd or up.3) how many beds for three passengers? and the size of the beds as well.4) any extra charge besides the rate showed online? 5) private bath room and rest room inside the property?6) we planned to stay 1 nights on 09 Feb. and to check out on 10Feb. the available check in time and check out time7) any parking lot underground available during our staying there? or other place?8) the space of the room? any bathing tub or just shower instead?9) others facilities that can be used during our staying there?10) how to do the payment?looking forward your swiftly reply at your soonest.thank you and my best regards,-----@-----.---Sammie Changp.s. I can't provide my contact data due to your regulation. but please check to come back us the soonest, thanks a lot...",,1,,1,1,1,,,
Hi. We are 2 families. One from the US and one from Kenya that are planning to come to Tokyo from the 25th of March to the 5th of April. The 2 families are arriving in Tokyo on staggered dates - 1 family on the 25th of MArch and other on the 1st of April. We all leave together. We have 4 kids between us (ages9-12). Is this house available for the dates and is is convenient in terms of public transportation?,1,,1,,,,,,
Hi there. Can you please explain what attached bathroom means? Is it a share bathroom? Do you need to go out of your room to access it? Are there any kitchen facilities & if so are they private or shared.Thanks. Ginny,,,,1,,,,,
"Good day! Is this place still available? I saw that for 5 pax feb 17-24 is for php48, 316. If in case 5 pax will stay for feb 17-21 and only 3 pax will stay for feb 21-24, is there discount?",1,,,,,,1,,
"konnichiwa,1. before i can confirm this unit,may i know...how can my guest will get their unit keys...2. does cleaning every day, charges..?3. do you provide bath towel for my guest, 5 of them... and is it change daily...?4. the deposit US1++, can pay using credit card instead.5. how is the security at that area.. safe....?thank you, fadzliappreciate your soonest reply...",,1,,1,1,,,,
"Hi, ask ko lang kung may available kayong room for 2 with private cr. Thanks",1,,,,,,,,
This is the first time I have used this site. Is Friday 27 check out not available?Can you please confirm on +-- ---- ----Thank youHelen Barrow,,,,,1,,,1,
Hello. Do you still have a villa available on December 30 - January 1?,1,,,,,,,,
Need address and contact number,,,,,,1,,1,
"Eli,I talked with my family and they agree to pay $2450 plus $300 (to checking out on sunday night).Wait for the discount to buy, thank you a lot.Fagner Consorte",,,,,,,1,,
"Good Morning. My aunties and their families will be travelling to Singapore on February and we are interested to rent your two units (one that can accommodate 6 and the other for 4). Just wanted to ask if they are beside each other or on the same floor? Thanks to advice.best regards,",,,,,,1,,,
"hi brother, i need a room today, and i couldnt use my card, not very sure whats the issue, is it possible for me to pay you by hard cash, i don mind paying rm 100 as well,cntct me at o I eight, tree 2, six four ,9 zero, seven.",,1,,,,,,1,
"Hello. We are a Family of 4 on Holiday. Is your apartment available?Best,Gim",1,,,,,,,,
"hi,i am wondering if it's ok to book the apartment for 5 adults and 1 child for the 3 bedroom apartment. for the dates stated above.",1,,,,1,,,,
"Hi, we are planning a family weekend trip to Penang next weekend. Me and my wife, our 12 year old daughter, my mum-in law and two domestic helpers. Is your house still available next weekend: check-in on 20/11, check-out on 23/11. Appreciate your reply. Kind regards, Arnout",1,,,,,,,,
Please email me ypur contact details sir regarding the transient room youre offering.Here is my email add.-----@-----.---,,,,,,,,1,
holiday,,,,,,,,,1
"Hello - I'm planning a trip to Houston for the dates above (4/1-4/5), and am interested in staying at your property. We will have 5 people in our group, though. Are you ok with 5 people staying there? We're ok with having one person sleeping on a couch or on the floor, but didn't know how to go about making the reservation given the 4 guest limit. Should we just make the reservation for 4?Thanks,Brian",,1,,,1,,,,
hi we would like to stay at your apartment for 7 night ..can we ?,1,,,,,,,,
"I will arrive Sat. July 16 with my 2 granddaughters, ages 15 and 17, and leave Sat. July 30. Is your apt. Available for that time? The girls think your pictures look great!",1,,,,,,,,
"Hi your apartment looks really nice and comfortable, me and a friend of mine are traveling to korea, and also it's abit of a last minute booking. Some questionsWill it be just the 2 of us in the apartmentWe will be traveling alot of places and 1 day in jeju so will it be alright if we were to leave the apartment for 1 day even after booking the entire dates?",,,,,1,,,,
Is this property available?,1,,,,,,,,
Is it available for 31st?...How many bungalows share the common swimming pool?,1,,,,1,,,,
Can u please let me know if this available and if you have a contact number that I can call you at My number is +-- ---- ----Cheers Usha,1,,,,,,,1,
"Hello,I want to ask you if you have 3 bed rooms appartments... we are a group of 4... but we need 3 bedrooms...please let me know...Kind Regards,Hani Taibah",,,,1,,,,,
"Hello. We're a family of four (mom, dad, 2 girls ages 4 and 1), plus a miniature dachshund. We're interested in this unit for the month of July. Is it available? If so, would you consider an offer of $5500 total for the month?",1,,,,,,1,,
Hi AnthonyWe are heading down to our hometown Sydney but prefer not to stay with the relatives this time. We are a family of 4 3 x adults and 1 x teen. Is your property available for these dates.Kind regardsBec,1,,,,,,,,
"hi,I would like to check on the best rate that you could give me on the date of booking suggested and whether it is still available. To be exact the whole family consists of 7 adults and 1 children. I would also need your assistance to explain further on the method of payment. Looking forward to hear from you.Thank you",1,1,,,,,1,,
Is this Vila available on these dates,1,,,,,,,,
"Hi, would you have availability for a couple for 1 night?You can contact me on -----@-----.---Thanks",1,,,,,,,,
"Dear Masaya, We are intetested in booking your place. Just wonder if there are elavators in the building to reach your flat? If there isnt, how many flights of stairs are there?Thanks! Look forward to your reply.",,,,1,,,,,
i require the apartment for a party 5 people will be staying and the number of visitors will be around 10,1,,,,,,,,
"Hi Sunny,I am looking for a single master bedroom (with attached bathroom) for rent. I am traveling to Singapore for 15 days starting 4th Oct. May even have to stay for up to 3 months. But will only be able to confirm that after arrival in Singapore.What is the availability status of your room? Since, I am looking to stay for a few months, what is the best rate that you can offer on a weekly / monthly basis?My profile: Indian male. Married. But will be traveling alone right now for a business project. Professional. NUS alumni.Thanks.Regards,Rohit.",1,,,,,,1,,
"Good evening, we are a fam with 4 dults and 2children, one 6 years and 1 who would be 2 next year. We know the region en we would like to stay in your appartement from 26/3 till 02/4/2016. Do you have a baby cot ? Can you give us your best pricesThanks and best regards, marleen",,,,1,,,1,,
"Hi lily, may I know the price is including 2 person stay right? ($53 per night) so if I want booking the room is select 1 guest ? And 1 child using extg bed is free right? Thank you!From: Mdm Boon",,1,,,,,,,
"I would like my friend to take a look of the place first, is it ok?",,,,,1,,,,
we want to know about rule payment.,,1,,,,,,,
"Dear Sir,I have sent a message already for the same dates. Kindly reply us as soon as possible. As we are a Travel Agent need 10% Commission. I spoke to Ray Tan and he has been advised to contact you.",,,,,,,,1,
"Dear Judith & DonaldWe are living and working in Singapore since year 2007 to now. We are interesting to stay for more than 10 days start from 27.9.15 to 10.10.15 , this period is under renovation for our unit. Looking a room for total 3 persons, my mother, my husband & me.We are Myanmar Muslim Family, my husband is Engineer and I am Account Officer, we both working at West Area of Singapore.May I know below inquires ;-------.--- you have any other house for rental near with west area?2.Can we stay 3 persons at same room with separate sheltered or curtain?3.Any discount offer due to longer staying period?Looking your kind & soonest reply.ThanksKhin",1,1,,1,,,1,,
I'm planning a Girls Get away trip for a mature crowd(40 yrs of age and older) and I notice that it said it rents for 3 days but we would need it for 4 days. Would this be a problem?,1,,,,,,,,
